time_step,id,id_leader,pos,vel,acc,lane,length
0.0,0,-1,120.0,34.0,0.0,1.0,7.0
0.0,1,-1,150.0,34.0,0.0,1.0,7.0
0.1,0,1,123.4,34.0,0.0,1.0,7.0
0.1,1,-1,153.4,34.0,0.0,1.0,7.0
0.2,0,1,126.80000000000001,34.0,0.0,1.0,7.0
0.2,1,-1,156.8,34.0,0.0,1.0,7.0
0.3,0,1,130.20000000000002,34.0,0.0,1.0,7.0
0.3,1,-1,160.20000000000002,34.0,0.0,1.0,7.0
0.4,0,1,133.60000000000002,34.0,0.0,1.0,7.0
0.4,1,-1,163.60000000000002,34.0,0.0,1.0,7.0
0.5,0,1,137.00000000000003,34.0,0.0,1.0,7.0
0.5,1,-1,167.00000000000003,34.0,0.0,1.0,7.0
0.6,0,1,140.40000000000003,34.0,0.0,1.0,7.0
0.6,1,-1,170.40000000000003,34.0,0.0,1.0,7.0
0.7,0,1,143.80000000000004,34.0,0.0,1.0,7.0
0.7,1,-1,173.80000000000004,34.0,0.0,1.0,7.0
0.8,0,1,147.20000000000005,34.0,0.0,1.0,7.0
0.8,1,-1,177.20000000000005,34.0,0.0,1.0,7.0
0.9,0,1,150.60000000000005,34.0,0.0,1.0,7.0
0.9,1,-1,180.60000000000005,34.0,0.0,1.0,7.0
1.0,0,1,154.00000000000006,34.0,0.0,1.0,7.0
1.0,1,-1,184.00000000000006,34.0,0.0,1.0,7.0
1.1,0,1,157.40000000000006,34.0,0.0,1.0,7.0
1.1,1,-1,187.40000000000006,34.0,0.0,1.0,7.0
1.2,0,1,160.80000000000007,34.0,0.0,1.0,7.0
1.2,1,-1,190.80000000000007,34.0,0.0,1.0,7.0
1.3,0,1,164.20000000000007,34.0,0.0,1.0,7.0
1.3,1,-1,194.20000000000007,34.0,0.0,1.0,7.0
1.4,0,1,167.60000000000008,34.0,0.0,1.0,7.0
1.4,1,-1,197.60000000000008,34.0,0.0,1.0,7.0
1.5,0,1,171.00000000000009,34.0,0.0,1.0,7.0
1.5,1,-1,201.00000000000009,34.0,0.0,1.0,7.0
1.6,0,1,174.4000000000001,34.0,0.0,1.0,7.0
1.6,1,-1,204.4000000000001,34.0,0.0,1.0,7.0
1.7,0,1,177.8000000000001,34.0,0.0,1.0,7.0
1.7,1,-1,207.8000000000001,34.0,0.0,1.0,7.0
1.8,0,1,181.2000000000001,34.0,0.0,1.0,7.0
1.8,1,-1,211.2000000000001,34.0,0.0,1.0,7.0
1.9,0,1,184.6000000000001,34.0,0.0,1.0,7.0
1.9,1,-1,214.6000000000001,34.0,0.0,1.0,7.0
2.0,0,1,188.0000000000001,34.0,0.0,1.0,7.0
2.0,1,-1,218.0000000000001,34.0,0.0,1.0,7.0
2.1,0,1,191.40000000000012,34.0,0.0,1.0,7.0
2.1,1,-1,221.40000000000012,34.0,0.0,1.0,7.0
2.2,0,1,194.80000000000013,34.0,0.0,1.0,7.0
2.2,1,-1,224.80000000000013,34.0,0.0,1.0,7.0
2.3,0,1,198.20000000000013,34.0,0.0,1.0,7.0
2.3,1,-1,228.20000000000013,34.0,0.0,1.0,7.0
2.4,0,1,201.60000000000014,34.0,0.0,1.0,7.0
2.4,1,-1,231.60000000000014,34.0,0.0,1.0,7.0
2.5,0,1,205.00000000000014,34.0,0.0,1.0,7.0
2.5,1,-1,235.00000000000014,34.0,0.0,1.0,7.0
2.6,0,1,208.40000000000015,34.0,0.0,1.0,7.0
2.6,1,-1,238.40000000000015,34.0,0.0,1.0,7.0
2.7,0,1,211.80000000000015,34.0,0.0,1.0,7.0
2.7,1,-1,241.80000000000015,34.0,0.0,1.0,7.0
2.8,0,1,215.20000000000016,34.0,0.0,1.0,7.0
2.8,1,-1,245.20000000000016,34.0,0.0,1.0,7.0
2.9,0,1,218.60000000000016,34.0,0.0,1.0,7.0
2.9,1,-1,248.60000000000016,34.0,0.0,1.0,7.0
3.0,0,1,222.00000000000017,34.0,0.0,1.0,7.0
3.0,1,-1,252.00000000000017,34.0,0.0,1.0,7.0
3.1,0,1,225.40000000000018,34.0,0.0,1.0,7.0
3.1,1,-1,255.40000000000018,34.0,0.0,1.0,7.0
3.2,0,1,228.80000000000018,34.0,0.0,1.0,7.0
3.2,1,-1,258.8000000000002,34.0,0.0,1.0,7.0
3.3,0,1,232.2000000000002,34.0,0.0,1.0,7.0
3.3,1,-1,262.20000000000016,34.0,0.0,1.0,7.0
3.4,0,1,235.6000000000002,34.0,0.0,1.0,7.0
3.4,1,-1,265.60000000000014,34.0,0.0,1.0,7.0
3.5,0,1,239.0000000000002,34.0,0.0,1.0,7.0
3.5,1,-1,269.0000000000001,34.0,0.0,1.0,7.0
3.6,0,1,242.4000000000002,34.0,0.0,1.0,7.0
3.6,1,-1,272.4000000000001,34.0,0.0,1.0,7.0
3.7,0,1,245.8000000000002,34.0,0.0,1.0,7.0
3.7,1,-1,275.80000000000007,34.0,0.0,1.0,7.0
3.8,0,1,249.20000000000022,34.0,0.0,1.0,7.0
3.8,1,-1,279.20000000000005,34.0,0.0,1.0,7.0
3.9,0,1,252.60000000000022,34.0,0.0,1.0,7.0
3.9,1,-1,282.6,34.0,0.0,1.0,7.0
4.0,0,1,256.0000000000002,34.0,0.0,1.0,7.0
4.0,1,-1,286.0,34.0,0.0,1.0,7.0
4.1,0,1,259.4000000000002,34.0,0.0,1.0,7.0
4.1,1,-1,289.4,34.0,0.0,1.0,7.0
4.2,0,1,262.8000000000002,34.0,0.0,1.0,7.0
4.2,1,-1,292.79999999999995,34.0,0.0,1.0,7.0
4.3,0,1,266.20000000000016,34.0,0.0,1.0,7.0
4.3,1,-1,296.19999999999993,34.0,0.0,1.0,7.0
4.4,0,1,269.60000000000014,34.0,0.0,1.0,7.0
4.4,1,-1,299.5999999999999,34.0,0.0,1.0,7.0
4.5,0,1,273.0000000000001,34.0,0.0,1.0,7.0
4.5,1,-1,302.9999999999999,34.0,0.0,1.0,7.0
4.6,0,1,276.4000000000001,34.0,0.0,1.0,7.0
4.6,1,-1,306.39999999999986,34.0,0.0,1.0,7.0
