time_step,id,id_leader,pos,vel,acc,lane,length
2.0,0,3,65.76999999999998,21.05000000000001,1.4,3.0,4.0
2.0,1,-1,109.49000000000012,24.600000000000012,1.4,1.0,4.0
2.0,2,-1,119.79999999999994,21.72,0.0,2.0,13.0
2.0,3,-1,145.48000000000005,20.940000000000005,0.7,3.0,16.0
2.1,0,3,67.88199999999999,21.190000000000012,1.4,3.0,4.0
2.1,1,-1,111.95700000000014,24.740000000000013,1.4,1.0,4.0
2.1,2,-1,121.97199999999994,21.72,0.0,2.0,13.0
2.1,3,-1,147.57750000000004,21.010000000000005,0.7,3.0,16.0
2.2,0,3,70.008,21.330000000000013,1.4,3.0,4.0
2.2,1,-1,114.43800000000014,24.880000000000013,1.4,1.0,4.0
2.2,2,-1,124.14399999999993,21.72,0.0,2.0,13.0
2.2,3,-1,149.68200000000004,21.080000000000005,0.7,3.0,16.0
2.3,0,3,72.148,21.470000000000013,1.4,3.0,4.0
2.3,1,-1,116.93300000000015,25.020000000000014,1.4,1.0,4.0
2.3,2,-1,126.31599999999993,21.72,0.0,2.0,13.0
2.3,3,-1,151.79350000000005,21.150000000000006,0.7,3.0,16.0
2.4,0,3,74.302,21.610000000000014,1.4,3.0,4.0
2.4,1,-1,119.44200000000015,25.160000000000014,1.4,1.0,4.0
2.4,2,-1,128.48799999999994,21.72,0.0,2.0,13.0
2.4,3,-1,153.91200000000006,21.220000000000006,0.7,3.0,16.0
2.5,0,3,76.47000000000001,21.750000000000014,1.4,3.0,4.0
2.5,1,-1,121.96500000000016,25.300000000000015,1.4,1.0,4.0
2.5,2,-1,130.65999999999994,21.72,0.0,2.0,13.0
2.5,3,-1,156.03750000000008,21.290000000000006,0.7,3.0,16.0
2.6,0,3,78.65200000000002,21.890000000000015,1.4,3.0,4.0
2.6,1,-1,124.50200000000017,25.440000000000015,1.4,1.0,4.0
2.6,2,-1,132.83298891623122,21.73977832462542,0.19778324625420543,2.0,13.0
2.6,3,-1,158.17000000000007,21.360000000000007,0.7,3.0,16.0
2.7,0,3,80.84800000000003,22.030000000000015,1.4,3.0,4.0
2.7,1,-1,127.05300000000017,25.580000000000016,1.4,1.0,4.0
2.7,2,-1,135.00795566492505,21.75955664925084,0.19778324625420543,2.0,13.0
2.7,3,-1,160.30950000000007,21.430000000000007,0.7,3.0,16.0
2.8,0,3,83.05800000000004,22.170000000000016,1.4,3.0,4.0
2.8,1,-1,129.61800000000017,25.720000000000017,1.4,1.0,4.0
2.8,2,-1,137.1849002460814,21.77933497387626,0.19778324625420543,2.0,13.0
2.8,3,-1,162.45600000000007,21.500000000000007,0.7,3.0,16.0
2.9,0,3,85.28200000000004,22.310000000000016,1.4,3.0,4.0
2.9,1,-1,132.19700000000017,25.860000000000017,1.4,1.0,4.0
2.9,2,-1,139.3638226597003,21.79911329850168,0.19778324625420543,2.0,13.0
2.9,3,-1,164.60950000000008,21.570000000000007,0.7,3.0,16.0
3.0,0,3,87.52000000000004,22.450000000000017,1.4,3.0,4.0
3.0,1,-1,134.7900000000002,26.000000000000018,1.4,1.0,4.0
3.0,2,-1,141.54472290578175,21.8188916231271,0.19778324625420543,2.0,13.0
3.0,3,-1,166.7700000000001,21.640000000000008,0.7,3.0,16.0
3.1,0,3,89.77200000000005,22.590000000000018,1.4,3.0,4.0
3.1,1,-1,137.3970000000002,26.14000000000002,1.4,1.0,4.0
3.1,2,-1,143.72760098432573,21.83866994775252,0.19778324625420543,2.0,13.0
3.1,3,-1,168.93750000000009,21.710000000000008,0.7,3.0,16.0
3.2,0,3,92.03800000000005,22.730000000000018,1.4,3.0,4.0
3.2,1,-1,140.0180000000002,26.28000000000002,1.4,1.0,4.0
3.2,2,-1,145.91245689533227,21.85844827237794,0.19778324625420543,2.0,13.0
3.2,3,-1,171.11200000000008,21.78000000000001,0.7,3.0,16.0
3.3,0,3,94.31800000000005,22.87000000000002,1.4,3.0,4.0
3.3,1,-1,142.65300000000022,26.42000000000002,1.4,1.0,4.0
3.3,2,-1,148.09929063880134,21.878226597003362,0.19778324625420543,2.0,13.0
3.3,3,-1,173.29350000000008,21.85000000000001,0.7,3.0,16.0
3.4,0,3,96.61200000000007,23.01000000000002,1.4,3.0,4.0
3.4,1,-1,145.30200000000022,26.56000000000002,1.4,1.0,4.0
3.4,2,-1,150.28810221473296,21.898004921628782,0.19778324625420543,2.0,13.0
3.4,3,-1,175.48200000000008,21.92000000000001,0.7,3.0,16.0
3.5,0,3,98.92000000000007,23.15000000000002,1.4,3.0,4.0
3.5,1,-1,147.96500000000023,26.70000000000002,1.4,1.0,4.0
3.5,2,-1,152.4788916231271,21.917783246254203,0.19778324625420543,2.0,13.0
3.5,3,-1,177.6775000000001,21.99000000000001,0.7,3.0,16.0
3.6,0,3,101.24200000000008,23.29000000000002,1.4,3.0,4.0
3.6,1,-1,150.64200000000025,26.84000000000002,1.4,1.0,4.0
3.6,2,-1,154.67165886398382,21.937561570879623,0.19778324625420543,2.0,13.0
3.6,3,-1,179.8800000000001,22.06000000000001,0.7,3.0,16.0
3.7,0,3,103.57800000000009,23.43000000000002,1.4,3.0,4.0
3.7,1,-1,153.33300000000025,26.98000000000002,1.4,1.0,4.0
3.7,2,-1,156.86640393730306,21.957339895505044,0.19778324625420543,2.0,13.0
3.7,3,-1,182.0895000000001,22.13000000000001,0.7,3.0,16.0
3.8,0,3,105.9280000000001,23.57000000000002,1.4,3.0,4.0
3.8,1,-1,156.03800000000027,27.120000000000022,1.4,1.0,4.0
3.8,2,-1,159.06312684308483,21.977118220130464,0.19778324625420543,2.0,13.0
3.8,3,-1,184.3060000000001,22.20000000000001,0.7,3.0,16.0
3.9,0,3,108.2920000000001,23.710000000000022,1.4,3.0,4.0
3.9,1,-1,158.75700000000026,27.260000000000023,1.4,1.0,4.0
3.9,2,-1,161.26182758132916,21.996896544755884,0.19778324625420543,2.0,13.0
3.9,3,-1,186.5295000000001,22.27000000000001,0.7,3.0,16.0
4.0,0,3,110.6700000000001,23.850000000000023,1.4,3.0,4.0
4.0,1,-1,161.49000000000026,27.400000000000023,1.4,1.0,4.0
4.0,2,-1,163.462506152036,22.016674869381305,0.19778324625420543,2.0,13.0
4.0,3,-1,188.7600000000001,22.34000000000001,0.7,3.0,16.0
4.1,0,3,113.06200000000011,23.990000000000023,1.4,3.0,4.0
4.1,1,-1,164.23700000000028,27.540000000000024,1.4,1.0,4.0
4.1,2,-1,165.66516255520543,22.036453194006725,0.19778324625420543,2.0,13.0
4.1,3,-1,190.99750000000012,22.41000000000001,0.7,3.0,16.0
4.2,0,3,115.46800000000012,24.130000000000024,1.4,3.0,4.0
4.2,1,-1,166.99800000000027,27.680000000000025,1.4,1.0,4.0
4.2,2,-1,167.86979679083737,22.056231518632146,0.19778324625420543,2.0,13.0
4.2,3,-1,193.24200000000013,22.48000000000001,0.7,3.0,16.0
4.3,0,3,117.88800000000012,24.270000000000024,1.4,3.0,4.0
4.3,1,-1,169.77300000000028,27.820000000000025,1.4,1.0,4.0
4.3,2,-1,170.07640885893187,22.076009843257566,0.19778324625420543,2.0,13.0
4.3,3,-1,195.49350000000013,22.55000000000001,0.7,3.0,16.0
4.4,0,3,120.32200000000013,24.410000000000025,1.4,3.0,4.0
4.4,1,-1,172.5620000000003,27.960000000000026,1.4,1.0,4.0
4.4,2,-1,172.2849987594889,22.095788167882986,0.19778324625420543,2.0,13.0
4.4,3,-1,197.75200000000012,22.62000000000001,0.7,3.0,16.0
4.5,0,3,122.77000000000014,24.550000000000026,1.4,3.0,4.0
4.5,1,-1,175.3650000000003,28.100000000000026,1.4,1.0,4.0
4.5,2,-1,174.4955664925085,22.115566492508407,0.19778324625420543,2.0,13.0
4.5,3,-1,200.01750000000013,22.690000000000012,0.7,3.0,16.0
4.6,0,3,125.23200000000014,24.690000000000026,1.4,3.0,4.0
4.6,1,-1,178.1820000000003,28.240000000000027,1.4,1.0,4.0
4.6,2,-1,176.7081120579906,22.135344817133827,0.19778324625420543,2.0,13.0
4.6,3,-1,202.29000000000013,22.760000000000012,0.7,3.0,16.0
4.7,0,3,127.70800000000015,24.830000000000027,1.4,3.0,4.0
4.7,1,-1,181.01300000000032,28.380000000000027,1.4,1.0,4.0
4.7,2,-1,178.92263545593528,22.155123141759248,0.19778324625420543,2.0,13.0
4.7,3,-1,204.56950000000015,22.830000000000013,0.7,3.0,16.0
4.8,0,3,130.19800000000015,24.970000000000027,1.4,3.0,4.0
4.8,1,-1,183.85800000000032,28.520000000000028,1.4,1.0,4.0
4.8,2,-1,181.13913668634248,22.174901466384668,0.19778324625420543,2.0,13.0
4.8,3,-1,206.85600000000014,22.900000000000013,0.7,3.0,16.0
4.9,0,3,132.70200000000017,25.110000000000028,1.4,3.0,4.0
4.9,1,-1,186.71700000000033,28.66000000000003,1.4,1.0,4.0
4.9,2,-1,183.35761574921221,22.19467979101009,0.19778324625420543,2.0,13.0
4.9,3,-1,209.14950000000013,22.970000000000013,0.7,3.0,16.0
