time_step,id,id_leader,pos,vel,acc,lane,length
0.0,0,-1,70.0,22.0,0.0,2.0,7.0
0.0,1,-1,40.0,35.0,0.0,1.0,7.0
0.0,2,-1,10.0,35.0,0.0,0.0,7.0
0.0,3,-1,150.0,15.0,0.0,1.0,18.0
0.1,0,-1,72.1975,21.95,-0.5,2.0,7.0
0.1,1,3,43.482026764503665,34.64053529007325,-3.5946470992674797,1.0,7.0
0.1,2,-1,13.5,35.0,0.0,0.0,7.0
0.1,3,-1,151.5035,15.07,0.7,1.0,18.0
0.2,0,-1,74.39,21.9,-0.5,2.0,7.0
0.2,1,3,46.92810705801465,34.281070580146505,-3.5946470992674797,1.0,7.0
0.2,2,-1,17.0,35.0,0.0,0.0,7.0
0.2,3,-1,153.014,15.14,0.7,1.0,18.0
0.3,0,-1,76.5775,21.849999999999998,-0.5,2.0,7.0
0.3,1,3,50.33824088053297,33.92160587021976,-3.5946470992674797,1.0,7.0
0.3,2,-1,20.5,35.0,0.0,0.0,7.0
0.3,3,-1,154.53150000000002,15.21,0.7,1.0,18.0
0.4,0,-1,78.76,21.799999999999997,-0.5,2.0,7.0
0.4,1,3,53.71242823205861,33.56214116029301,-3.5946470992674797,1.0,7.0
0.4,2,-1,24.0,35.0,0.0,0.0,7.0
0.4,3,-1,156.056,15.280000000000001,0.7,1.0,18.0
0.5,0,-1,80.9375,21.749999999999996,-0.5,2.0,7.0
0.5,1,3,57.05066911259158,33.20267645036626,-3.5946470992674797,1.0,7.0
0.5,2,-1,27.5,35.0,0.0,0.0,7.0
0.5,3,-1,157.5875,15.350000000000001,0.7,1.0,18.0
0.6,0,-1,83.11,21.699999999999996,-0.5,2.0,7.0
0.6,1,3,60.352963522131866,32.843211740439514,-3.5946470992674797,1.0,7.0
0.6,2,-1,31.0,35.0,0.0,0.0,7.0
0.6,3,-1,159.126,15.420000000000002,0.7,1.0,18.0
0.7,0,-1,85.2775,21.649999999999995,-0.5,2.0,7.0
0.7,1,3,63.619311460679484,32.48374703051277,-3.5946470992674797,1.0,7.0
0.7,2,-1,34.5,35.0,0.0,0.0,7.0
0.7,3,-1,160.6715,15.490000000000002,0.7,1.0,18.0
0.8,0,-1,87.44000000000001,21.599999999999994,-0.5,2.0,7.0
0.8,1,3,66.84971292823442,32.12428232058602,-3.5946470992674797,1.0,7.0
0.8,2,-1,38.0,35.0,0.0,0.0,7.0
0.8,3,-1,162.22400000000002,15.560000000000002,0.7,1.0,18.0
0.9,0,-1,89.59750000000001,21.549999999999994,-0.5,2.0,7.0
0.9,1,3,70.04416792479668,31.76481761065927,-3.5946470992674797,1.0,7.0
0.9,2,-1,41.5,35.0,0.0,0.0,7.0
0.9,3,-1,163.78350000000003,15.630000000000003,0.7,1.0,18.0
1.0,0,-1,91.75000000000001,21.499999999999993,-0.5,2.0,7.0
1.0,1,3,73.20267645036627,31.405352900732524,-3.5946470992674797,1.0,7.0
1.0,2,-1,45.0,35.0,0.0,0.0,7.0
1.0,3,-1,165.35000000000002,15.700000000000003,0.7,1.0,18.0
1.1,0,-1,93.89750000000002,21.449999999999992,-0.5,2.0,7.0
1.1,1,3,76.32523850494319,31.045888190805776,-3.5946470992674797,1.0,7.0
1.1,2,-1,48.5,35.0,0.0,0.0,7.0
1.1,3,-1,166.92350000000002,15.770000000000003,0.7,1.0,18.0
1.2,0,-1,96.04000000000002,21.39999999999999,-0.5,2.0,7.0
1.2,1,3,79.41185408852742,30.68642348087903,-3.5946470992674797,1.0,7.0
1.2,2,-1,52.0,35.0,0.0,0.0,7.0
1.2,3,-1,168.50400000000002,15.840000000000003,0.7,1.0,18.0
1.3,0,-1,98.17750000000002,21.34999999999999,-0.5,2.0,7.0
1.3,1,3,82.46252320111898,30.32695877095228,-3.5946470992674797,1.0,7.0
1.3,2,-1,55.5,35.0,0.0,0.0,7.0
1.3,3,-1,170.09150000000002,15.910000000000004,0.7,1.0,18.0
1.4,0,-1,100.31000000000003,21.29999999999999,-0.5,2.0,7.0
1.4,1,3,85.47724584271786,29.967494061025533,-3.5946470992674797,1.0,7.0
1.4,2,-1,59.0,35.0,0.0,0.0,7.0
1.4,3,-1,171.68600000000004,15.980000000000004,0.7,1.0,18.0
1.5,0,-1,102.43750000000003,21.24999999999999,-0.5,2.0,7.0
1.5,1,3,88.45602201332407,29.608029351098786,-3.5946470992674797,1.0,7.0
1.5,2,-1,62.5,35.0,0.0,0.0,7.0
1.5,3,-1,173.28750000000005,16.050000000000004,0.7,1.0,18.0
1.6,0,-1,104.56000000000003,21.19999999999999,-0.5,2.0,7.0
1.6,1,3,91.39885171293761,29.248564641172038,-3.5946470992674797,1.0,7.0
1.6,2,-1,66.0,35.0,0.0,0.0,7.0
1.6,3,-1,174.89600000000004,16.120000000000005,0.7,1.0,18.0
1.7,0,-1,106.67750000000004,21.149999999999988,-0.5,2.0,7.0
1.7,1,3,94.30573494155847,28.88909993124529,-3.5946470992674797,1.0,7.0
1.7,2,-1,69.5,35.0,0.0,0.0,7.0
1.7,3,-1,176.51150000000004,16.190000000000005,0.7,1.0,18.0
1.8,0,-1,108.79000000000003,21.099999999999987,-0.5,2.0,7.0
1.8,1,3,97.17667169918666,28.529635221318543,-3.5946470992674797,1.0,7.0
1.8,2,-1,73.0,35.0,0.0,0.0,7.0
1.8,3,-1,178.13400000000004,16.260000000000005,0.7,1.0,18.0
1.9,0,-1,110.89750000000004,21.049999999999986,-0.5,2.0,7.0
1.9,1,3,100.01166198582217,28.170170511391795,-3.5946470992674797,1.0,7.0
1.9,2,-1,76.5,35.0,0.0,0.0,7.0
1.9,3,-1,179.76350000000005,16.330000000000005,0.7,1.0,18.0
2.0,0,-1,113.00000000000004,20.999999999999986,-0.5,2.0,7.0
2.0,1,3,102.810705801465,27.810705801465048,-3.5946470992674797,1.0,7.0
2.0,2,-1,80.0,35.0,0.0,0.0,7.0
2.0,3,-1,181.40000000000006,16.400000000000006,0.7,1.0,18.0
2.1,0,-1,115.09750000000004,20.949999999999985,-0.5,2.0,7.0
2.1,1,3,105.57380314611517,27.4512410915383,-3.5946470992674797,1.0,7.0
2.1,2,-1,83.5,35.0,0.0,0.0,7.0
2.1,3,-1,183.04350000000008,16.470000000000006,0.7,1.0,18.0
2.2,0,-1,117.19000000000004,20.899999999999984,-0.5,2.0,7.0
2.2,1,3,108.30095401977266,27.091776381611552,-3.5946470992674797,1.0,7.0
2.2,2,-1,87.0,35.0,0.0,0.0,7.0
2.2,3,-1,184.69400000000007,16.540000000000006,0.7,1.0,18.0
2.3,0,-1,119.27750000000005,20.849999999999984,-0.5,2.0,7.0
2.3,1,3,110.99215842243747,26.732311671684805,-3.5946470992674797,1.0,7.0
2.3,2,-1,90.5,35.0,0.0,0.0,7.0
2.3,3,-1,186.35150000000007,16.610000000000007,0.7,1.0,18.0
2.4,0,-1,121.36000000000004,20.799999999999983,-0.5,2.0,7.0
2.4,1,3,113.64741635410961,26.372846961758057,-3.5946470992674797,1.0,7.0
2.4,2,-1,94.0,35.0,0.0,0.0,7.0
2.4,3,-1,188.01600000000008,16.680000000000007,0.7,1.0,18.0
2.5,0,-1,123.43750000000004,20.749999999999982,-0.5,2.0,7.0
2.5,1,3,116.26672781478908,26.01338225183131,-3.5946470992674797,1.0,7.0
2.5,2,-1,97.5,35.0,0.0,0.0,7.0
2.5,3,-1,189.68750000000009,16.750000000000007,0.7,1.0,18.0
2.6,0,-1,125.51844454750666,20.86889095013236,1.1889095013237767,2.0,7.0
2.6,1,3,118.8580660399722,25.81338225183131,-2.0,1.0,7.0
2.6,2,-1,101.0,35.0,0.0,0.0,7.0
2.6,3,-1,191.3660000000001,16.820000000000007,0.7,1.0,18.0
2.7,0,-1,127.61127819002651,20.98778190026474,1.1889095013237767,2.0,7.0
2.7,1,3,121.42940426515533,25.61338225183131,-2.0,1.0,7.0
2.7,2,-1,104.5,35.0,0.0,0.0,7.0
2.7,3,-1,193.0515000000001,16.890000000000008,0.7,1.0,18.0
2.8,0,-1,129.7160009275596,21.106672850397118,1.1889095013237767,2.0,7.0
2.8,1,3,123.98074249033846,25.41338225183131,-2.0,1.0,7.0
2.8,2,-1,108.0,35.0,0.0,0.0,7.0
2.8,3,-1,194.74400000000009,16.960000000000008,0.7,1.0,18.0
2.9,0,-1,131.83261276010595,21.225563800529496,1.1889095013237767,2.0,7.0
2.9,1,3,126.51208071552158,25.213382251831312,-2.0,1.0,7.0
2.9,2,-1,111.5,35.0,0.0,0.0,7.0
2.9,3,-1,196.44350000000009,17.03000000000001,0.7,1.0,18.0
3.0,0,-1,133.96111368766552,21.344454750661875,1.1889095013237767,2.0,7.0
3.0,1,3,129.02341894070472,25.013382251831313,-2.0,1.0,7.0
3.0,2,-1,115.0,35.0,0.0,0.0,7.0
3.0,3,-1,198.1500000000001,17.10000000000001,0.7,1.0,18.0
3.1,0,-1,136.10150371023835,21.463345700794253,1.1889095013237767,2.0,7.0
3.1,1,3,131.51475716588786,24.813382251831314,-2.0,1.0,7.0
3.1,2,-1,118.5,35.0,0.0,0.0,7.0
3.1,3,-1,199.8635000000001,17.17000000000001,0.7,1.0,18.0
3.2,0,-1,138.2537828278244,21.58223665092663,1.1889095013237767,2.0,7.0
3.2,1,3,133.986095391071,24.613382251831315,-2.0,1.0,7.0
3.2,2,-1,122.0,35.0,0.0,0.0,7.0
3.2,3,-1,201.58400000000012,17.24000000000001,0.7,1.0,18.0
3.3,0,-1,140.4179510404237,21.70112760105901,1.1889095013237767,2.0,7.0
